user_id,stage_order,stage
ee97c8efb32c,1,Sent a message
ee97c8efb32c,2,Sent 2 or more messages
4aeebdaf4511,0,Arrived
4aeebdaf4511,1,Sent a message
4aeebdaf4511,2,Sent 2 or more messages
7d274d55a9fc,0,Arrived
7d274d55a9fc,1,Sent a message
7d274d55a9fc,2,Sent 2 or more messages
8dfd0b293cb4,0,Arrived
8dfd0b293cb4,1,Sent a message
8dfd0b293cb4,2,Sent 2 or more messages
eb43d61f1fa6,0,Arrived
7b247e90e35b,0,Arrived
7b247e90e35b,1,Sent a message
7b247e90e35b,2,Sent 2 or more messages
5f00e43eff17,0,Arrived
5f00e43eff17,1,Sent a message
5f00e43eff17,2,Sent 2 or more messages
5f00e43eff17,3,Sent 7 or more messages
79ac5516fd24,0,Arrived
79ac5516fd24,1,Sent a message
79ac5516fd24,2,Sent 2 or more messages
ea6ec746a9f3,0,Arrived
ea6ec746a9f3,1,Sent a message
946815b7a988,0,Arrived
946815b7a988,1,Sent a message
946815b7a988,2,Sent 2 or more messages
c9be207f9ad1,0,Arrived
c9be207f9ad1,1,Sent a message
43b3c1b09eef,0,Arrived
43b3c1b09eef,1,Sent a message
084592c4a4fd,0,Arrived
084592c4a4fd,1,Sent a message
084592c4a4fd,2,Sent 2 or more messages
c9eb3cfa60f9,0,Arrived
c9eb3cfa60f9,1,Sent a message
c9eb3cfa60f9,2,Sent 2 or more messages
483cf6a54bf1,0,Arrived
483cf6a54bf1,1,Sent a message
483cf6a54bf1,2,Sent 2 or more messages
483cf6a54bf1,3,Sent 7 or more messages
98a101df38a7,0,Arrived
a70e3fb62bc0,0,Arrived
a70e3fb62bc0,1,Sent a message
a70e3fb62bc0,2,Sent 2 or more messages
d58fd4a48a69,0,Arrived
d58fd4a48a69,1,Sent a message
d58fd4a48a69,2,Sent 2 or more messages
78055add5269,0,Arrived
c6ddc37c2366,0,Arrived
c6ddc37c2366,1,Sent a message
c6ddc37c2366,2,Sent 2 or more messages
c6ddc37c2366,3,Sent 7 or more messages
92ff5182ff53,0,Arrived
92ff5182ff53,1,Sent a message
92ff5182ff53,2,Sent 2 or more messages
56c146535660,0,Arrived
56c146535660,1,Sent a message
56c146535660,2,Sent 2 or more messages
56c146535660,3,Sent 7 or more messages
53c1984d329d,0,Arrived
53c1984d329d,1,Sent a message
53c1984d329d,2,Sent 2 or more messages
c026dd1c05cd,0,Arrived
dc6642edcd75,0,Arrived
dc6642edcd75,1,Sent a message
dc6642edcd75,2,Sent 2 or more messages
6ae499a69fef,0,Arrived
6ae499a69fef,1,Sent a message
6ae499a69fef,2,Sent 2 or more messages
9bb0bde5b746,0,Arrived
9bb0bde5b746,1,Sent a message
8eb4ec93218c,0,Arrived
9fc9dc6b6c7d,0,Arrived
9fc9dc6b6c7d,1,Sent a message
9fc9dc6b6c7d,2,Sent 2 or more messages
9fc9dc6b6c7d,3,Sent 7 or more messages
43c2b95fe94f,0,Arrived
31b8761c2878,0,Arrived
31b8761c2878,1,Sent a message
cf03288f22b4,0,Arrived
cf03288f22b4,1,Sent a message
cf03288f22b4,2,Sent 2 or more messages
3939c9b21a6d,0,Arrived
3939c9b21a6d,1,Sent a message
2c38877ae17e,0,Arrived
2c38877ae17e,1,Sent a message
2c38877ae17e,2,Sent 2 or more messages
88837a6cbbbc,0,Arrived
0c3fc97bd83c,0,Arrived
0c3fc97bd83c,1,Sent a message
0209640b4a42,0,Arrived
65efccbd2ae4,0,Arrived
7ddd567fca0b,0,Arrived
7ddd567fca0b,1,Sent a message
7ddd567fca0b,2,Sent 2 or more messages
491ad6e259e6,0,Arrived
491ad6e259e6,1,Sent a message
491ad6e259e6,2,Sent 2 or more messages
a44cd0fb62fb,0,Arrived
a44cd0fb62fb,1,Sent a message
35e622501381,0,Arrived
fd865163ce46,0,Arrived
9bc3f350074c,0,Arrived
9bc3f350074c,1,Sent a message
9bc3f350074c,2,Sent 2 or more messages
e2f825d75a6a,0,Arrived
e2f825d75a6a,1,Sent a message
e2f825d75a6a,2,Sent 2 or more messages
78d1eb495436,0,Arrived
78d1eb495436,1,Sent a message
78d1eb495436,2,Sent 2 or more messages
95df82024399,0,Arrived
8b06a10e13e1,0,Arrived
592ec0ca02ec,0,Arrived
d4bf3a47f65a,0,Arrived
d4bf3a47f65a,1,Sent a message
d4bf3a47f65a,2,Sent 2 or more messages
9d99509f5976,0,Arrived
9d99509f5976,1,Sent a message
9d99509f5976,2,Sent 2 or more messages
38d97281c545,0,Arrived
38d97281c545,1,Sent a message
38d97281c545,2,Sent 2 or more messages
7ab96e544cfe,0,Arrived
7ab96e544cfe,1,Sent a message
7ab96e544cfe,2,Sent 2 or more messages
0e67c88ff3ff,0,Arrived
14ddc19dbb75,0,Arrived
14ddc19dbb75,1,Sent a message
88bf03d80863,0,Arrived
88bf03d80863,1,Sent a message
88bf03d80863,2,Sent 2 or more messages
3507ac8c5023,0,Arrived
3507ac8c5023,1,Sent a message
3507ac8c5023,2,Sent 2 or more messages
66aee72311ce,0,Arrived
66aee72311ce,1,Sent a message
66aee72311ce,2,Sent 2 or more messages
a805dfa3d789,0,Arrived
a805dfa3d789,1,Sent a message
a805dfa3d789,2,Sent 2 or more messages
db7bf73021d3,0,Arrived
db7bf73021d3,1,Sent a message
db7bf73021d3,2,Sent 2 or more messages
db7bf73021d3,3,Sent 7 or more messages
d25bcb376566,0,Arrived
d25bcb376566,1,Sent a message
d25bcb376566,2,Sent 2 or more messages
48ab8159f144,0,Arrived
48ab8159f144,1,Sent a message
48ab8159f144,2,Sent 2 or more messages
993a3e5d9533,0,Arrived
fbd40694fd86,0,Arrived
fbd40694fd86,1,Sent a message
fbd40694fd86,2,Sent 2 or more messages
fbd40694fd86,3,Sent 7 or more messages
9ef3cc352336,0,Arrived
9ef3cc352336,1,Sent a message
b9ff365f1be6,0,Arrived
b9ff365f1be6,1,Sent a message
b9ff365f1be6,2,Sent 2 or more messages
