message_id,kind,entity
16e179a1be742d4d,procedure,PPT
16e179a1be742d4d,procedure,Ayuda humanitaria
8aa102c8495b1571,procedure,Educación
85de5566c554bad4,procedure,Educación
33f45e70a7fdee0c,procedure,Cédula
05f2b2e9e7864981,procedure,PPT
05f2b2e9e7864981,procedure,Pasaporte
24e92b0a5cb12302,procedure,PPT
6c823001d815c34b,procedure,Cédula
6c823001d815c34b,procedure,Pasaporte
7aabe944c918fc6e,procedure,Pasaporte
87d0e8882c871c50,procedure,PPT
87d0e8882c871c50,procedure,Cédula
b38e60be598becde,procedure,PPT
7fce0eeceefc5940,procedure,Cédula
396945349e5a1da0,procedure,Cédula
54e4000390aa4902,procedure,Cédula
483ad309d2b0ea58,procedure,Visa
84ac20e9005ebf0f,procedure,PPT
eb0bd675f906b612,procedure,PPT
4b9815e480ca67c0,procedure,Salvoconducto
2b5929cc445dfe48,institution,ACNUR
b1d709ecc35b44e0,procedure,Trabajo/Empleo
f7584921288f4793,procedure,PPT
f7584921288f4793,procedure,Regularización
fcb2bd37707d15b6,procedure,PPT
df55fa4a7646a7dd,institution,Migración Colombia
def8bb03978201ec,procedure,Trabajo/Empleo
def8bb03978201ec,procedure,Emprendimiento
73fbc052cc205a65,procedure,Visa
73fbc052cc205a65,procedure,PPT
73fbc052cc205a65,procedure,Pasaporte
26c647fcae5cdb9b,procedure,Cédula
1b63c8598210985d,procedure,PPT
1b63c8598210985d,procedure,Nacionalidad/Naturalización
1dc24dbffaa549a4,procedure,PPT
1dc24dbffaa549a4,procedure,Cédula
05c9034b37444397,procedure,PPT
05c9034b37444397,procedure,Cédula
105f24fdb3b4ef52,procedure,Ayuda humanitaria
91778bae10854177,procedure,Regularización
0eeaf707ea47ccc6,procedure,Visa
b903a90db6df64d9,procedure,Pasaporte
4fe10a0cd8d103fd,procedure,PPT
a4159cc50dca2636,procedure,Regularización
4fb6f069335531ed,procedure,Ayuda económica
35d6713f93ca97be,procedure,Salud/EPS
3eec1980de79d01c,procedure,PPT
d1891bbacccae89a,procedure,PPT
100c4e3fbebaa07c,procedure,Registro civil/Apostilla
c820e11c867778b8,procedure,PPT
45e4e059096af22d,procedure,PPT
378d179b4b5af470,procedure,PPT
bac64d64a465d4cb,procedure,Salvoconducto
0bad8932d920716d,procedure,PPT
0bad8932d920716d,procedure,Cédula
b8ae75c93916829f,procedure,PPT
d0ccbabae8ccfd80,procedure,Regularización
9bb308471b4a6a40,procedure,PPT
6455932eb450d97b,procedure,Regularización
7267b3069343d491,procedure,Visa
5d7650f100b16513,procedure,Regularización
7616ec04de0a22ff,procedure,Trabajo/Empleo
2d16c1d2d5d83b20,procedure,Cédula
5aee0425b980321d,procedure,PPT
5aee0425b980321d,procedure,Salud/EPS
b3d15a27001b7bde,procedure,Salud/EPS
0b67db8a4d6a566b,procedure,Visa
603841bbbbc5a2ea,procedure,Visa
20ea8a7a9947df35,institution,Cancillería
22c7ccc396774b28,procedure,PPT
22c7ccc396774b28,procedure,Regularización
22c7ccc396774b28,procedure,PEP
a4ebf9c5cd22dd11,procedure,Visa
8951ab6af26ba36b,procedure,Regularización
761a706671ed9de9,procedure,Visa
761a706671ed9de9,institution,Migración Colombia
12878668997cc7e0,procedure,Visa
12878668997cc7e0,procedure,Educación
a93ce84f1f4c4cbd,procedure,Pasaporte
c37a89f7cb944981,procedure,Regularización
7fcb8c758ac65b81,procedure,Regularización
aaece0548bd27db6,procedure,PPT
78b7405a7569ce10,procedure,Regularización
5483e905aa25892c,institution,Migración Colombia
711ebc65f3baf967,procedure,PEP
fc711e796b53c12b,procedure,Cédula
b60040ec4c75629c,procedure,PEP
90d6be0fd49cde41,procedure,Registro civil/Apostilla
16f14009d41f9519,procedure,PEP
16f14009d41f9519,procedure,Registro civil/Apostilla
4ea549ede30b8fd3,procedure,Salud/EPS
4c266cbe555627c9,procedure,Salvoconducto
fe722c10ab828609,procedure,SISBÉN
fe722c10ab828609,procedure,Salud/EPS
63d0217ddb20221d,procedure,PPT
f3fa9bc3616de8a8,procedure,Emprendimiento
9c3e8abed7a5d66a,procedure,Trabajo/Empleo
9c3e8abed7a5d66a,procedure,Emprendimiento
c82f5a994a91746d,procedure,Vivienda/Arriendo
86373f4c0cb6b2f3,procedure,Refugio/Asilo
c1ecd4a49a426341,procedure,Trabajo/Empleo
d8085dcd458043ac,procedure,PPT
96b7ce88226e89d4,procedure,Trabajo/Empleo
96b7ce88226e89d4,procedure,Salud/EPS
7537f9833f210a07,procedure,Regularización
973eed9ecf84b400,procedure,Salvoconducto
ad246ddfae2a3c7f,procedure,Salvoconducto
7d6b145d4e064195,procedure,Regularización
ec0cbeb5a2de9395,procedure,Salud/EPS
91a43a1176162e3a,procedure,Regularización
18d96210989d3e05,procedure,PPT
c6c3d49a9180dc34,procedure,PPT
af983280165e4bff,procedure,PPT
af983280165e4bff,procedure,SISBÉN
af983280165e4bff,procedure,Salud/EPS
4b10090011e89d31,procedure,Visa
a55e8666757d1ada,procedure,Pasaporte
c3cd3f5440864b7f,procedure,PPT
c3cd3f5440864b7f,procedure,PEP
a6564740d7fa394d,procedure,Visa
a6564740d7fa394d,procedure,PPT
a6564740d7fa394d,procedure,PEP
e8be53970e30415e,procedure,Visa
e8be53970e30415e,procedure,PPT
e8be53970e30415e,procedure,PEP
ca9cc2b9e6652b27,procedure,Pasaporte
60ba22ad94728228,procedure,Regularización
91be480366a7260e,procedure,Trabajo/Empleo
287bd47aaa7fae17,procedure,Trabajo/Empleo
b960bd716b44c878,procedure,Ayuda humanitaria
808a1d66ed07afeb,procedure,Refugio/Asilo
281cce5fd1900ed4,procedure,Refugio/Asilo
61773d9b5f979e80,procedure,Refugio/Asilo
4dbc2d8617811a21,institution,Migración Colombia
c619e2d7cd03d57a,institution,Migración Colombia
c469a5d0468d298f,procedure,Ayuda humanitaria
eb02c6e9ff9bc658,procedure,Visa
61eb41fd98e6eeca,procedure,Cédula
2798300c61b6b316,procedure,Cédula
ac3e3f69879408b5,procedure,Cédula
61c16596edce86a6,procedure,Regularización
f56097e861f949b6,procedure,PPT
138be8a65ce3ad05,procedure,Visa
223454a9e3600a86,procedure,PPT
513d1eaaa030c345,procedure,Regularización
218b6bd67f680269,procedure,PPT
4c03d485e43d6f53,procedure,Cédula
de89cc8b608016a5,procedure,Pasaporte
35a07043f50b20f8,procedure,Pasaporte
749a0001a8ee5560,procedure,PPT
7610b24395d8ce21,procedure,Educación
02ba3238a547a98c,procedure,Nacionalidad/Naturalización
1548ffdad3a0708d,procedure,PPT
a971b39d2fdde18f,procedure,PPT
35bff3968a4c8e54,procedure,Salud/EPS
42710e0ca9450e06,procedure,PPT
27383a753b95621e,procedure,Registro civil/Apostilla
2b8f37e8a9584dc9,procedure,Registro civil/Apostilla
6d78dc60616e3519,procedure,PPT
17c17c7917dd97db,procedure,PPT
f430cf0b7b8cb854,procedure,Registro civil/Apostilla
d0ae483601647687,procedure,PPT
d0ae483601647687,procedure,Regularización
d0ae483601647687,procedure,Pasaporte
63e8926cdb2e81fe,procedure,PPT
6ef1164ee18ac044,procedure,PPT
6ef1164ee18ac044,procedure,Salud/EPS
fc9880aa4194ed5d,procedure,SISBÉN
86a1f8c1a2a769d3,procedure,Trabajo/Empleo
86a1f8c1a2a769d3,procedure,Registro civil/Apostilla
86a1f8c1a2a769d3,procedure,Educación
d631e26038166ce3,procedure,Pasaporte
60282a6696a336f4,procedure,Pasaporte
171eceb93d56a7b7,procedure,Pasaporte
5ea8d53c4b828c40,procedure,PEP
5ea8d53c4b828c40,procedure,Regularización
ffe62031fea8fdcb,procedure,PPT
ffe62031fea8fdcb,institution,Migración Colombia
916fd19bf5240853,procedure,Visa
916fd19bf5240853,procedure,Educación
916fd19bf5240853,institution,Cancillería
8be2bc0a9f010c7d,institution,Cancillería
82f5d375f6198f03,procedure,PPT
7234906837cb962d,procedure,PPT
773cd53fa18f4cdc,procedure,Regularización
1f953ee56d9c0bf7,procedure,Emprendimiento
