user_id,x,y,cluster_id
4e549487225a,7.179315,10.761985,0
4ebb7f683407,6.5299473,9.15367,0
4eed8489d04f,7.1488013,9.03051,0
4f524af45e30,7.2789154,10.201836,0
4f8c281ecd81,5.3184576,9.24092,2
5044f351c01f,7.6817217,10.530032,0
50fdccfb1891,6.3821535,10.701784,0
512018e4b670,6.336061,8.992858,0
5120edad4c99,10.203571,8.770934,3
519c42d73b02,7.486369,7.580921,2
51e28189c9d0,9.454689,7.9489317,3
52c3b55e29a6,7.2561493,7.2399693,2
533f8aeb1f13,7.793047,11.135185,0
535a43ed5f6c,7.4851356,8.939527,3
538295dd1cc1,6.111978,7.3558774,2
54987b876f2a,11.368718,10.647762,1
54f981c3f69d,11.113693,10.527135,1
555b65ff0b32,9.400529,8.685004,2
55a546c0886d,8.258625,10.861949,0
565848d424b6,9.403646,11.730435,3
566014fe1472,6.925727,8.093938,2
566065ba27e3,6.060688,8.236144,0
56a94c18bdd6,4.693443,7.825316,2
56d210ca8ced,9.347965,10.712784,1
56e476735a0f,10.540611,10.526324,1
573843e5bd1e,9.109531,9.620249,3
573966264c78,11.083591,9.427822,1
57bcca8ebb97,9.051709,7.2771816,2
5804605991cf,8.839624,9.162682,3
5858420214d9,7.253561,9.597065,2
58aa5ef80922,8.9596195,7.995788,2
58e3ec0e8efa,8.482053,10.285306,3
58f58e00440b,8.693988,6.905776,2
591ef6450265,6.3046217,6.7852793,2
5952f7857809,10.460904,11.305589,1
5969c82a3eb7,5.7759237,9.197522,0
598560d91722,10.177845,9.763832,1
5a37c2627cfe,8.172322,10.158107,3
5a525086d92f,11.40815,10.200886,1
5a7498cf5cbc,11.232334,10.111682,1
5a96e7702cb0,11.072469,11.174941,1
5af71ce15ba4,11.388727,9.606636,1
5b35eba5a9c4,6.8479505,10.367869,0
5bfad0d03abe,11.715954,9.276081,1
5c9ef20917c1,8.674031,8.799396,3
5cb012353434,5.819185,9.654307,2
5cef985e56f4,8.8244095,12.214973,3
5d68d7d36dbf,7.2727013,9.534638,0
5e4e11b7a1b0,8.24389,10.311669,3
5e8b19f7609f,6.1638293,7.481259,2
5ea0c636563a,7.982607,8.52025,1
5eb579d50f61,9.219439,9.201901,2
5f11954d95d6,9.412266,11.394581,3
5f3b1a98a0c9,5.7716737,7.711725,2
5f53f39e9f4e,6.2670655,8.441603,0
5f587b32486e,6.1290135,8.972695,0
5f7ccd4c3ba5,5.5475097,8.462086,0
5f8aae4275b4,9.302175,12.059862,3
5fceb0b65f8e,8.515077,6.904143,2
