user_id,instrument_version,gender_clean,age_num,age_flag,city_canon,department,nationality_canon,away_duration_canon,away_duration_order,city_duration_canon,city_duration_order,n_questions,minors,destination_country,language,registration_status,attempts,is_returning,safety_alert,escalation_status,age_range,age_range_order,session_minutes,n_msgs_user,has_text,first_seen,registered_at,is_repeat_asker,intends_to_stay,cluster_id,subcluster_id,subcluster_name
057777824af7,v1,Man,33.0,ok,Medellín,Antioquia,Venezuela,3–12 months,2.0,1+ year,4.0,1.0,No,Venezuela,Spanish,Completed,,,,,25-34,2,,1,True,2026-04-24 12:26:54.565,2026-04-24 12:26:54.565,False,False,2,22,Apostilles and birth records
05858340bffd,v1,Woman,29.0,ok,Santa Marta,Magdalena,Venezuela,1–5 years,3.0,Did not respond,-1.0,3.0,No,Colombia,Spanish,Completed,,,,,25-34,2,,4,True,2026-07-10 13:29:56.337,2026-07-10 13:29:56.337,False,True,2,20,Family nationality options
0592352552c0,v1,Woman,42.0,ok,Medellín,Antioquia,Venezuela,1–5 years,3.0,1+ year,4.0,3.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,7,True,2026-07-08 16:31:49.334,2026-07-08 16:31:49.334,False,True,2,22,Apostilles and birth records
061eed24d599,v1,Woman,42.0,ok,Medellín,Antioquia,Venezuela,1–5 years,3.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,2,True,2026-05-06 02:09:29.522,2026-05-06 02:09:29.522,False,True,5,50,Services and integration
06433e895ee5,v1,Woman,32.0,ok,Bogotá,Bogotá,Venezuela,1–5 years,3.0,1+ year,4.0,7.0,Yes,Argentina,Spanish,Completed,,,,,25-34,2,,12,True,2026-05-14 13:37:42.374,2026-05-14 13:37:42.374,True,False,1,10,Biometrics and minors' documents
066c67042429,v1,Woman,22.0,ok,Cúcuta,Norte de Santander,Venezuela,1–5 years,3.0,1+ year,4.0,1.0,No,Colombia,Spanish,Completed,,,,,18-24,1,,1,True,2026-07-14 23:56:00.395,2026-07-14 23:56:00.395,False,True,3,30,Visas and travel abroad
069b1ec8e19a,v1,Woman,56.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,1.0,No,Colombia,Spanish,Completed,,,,,55+,5,,2,True,2026-07-10 14:07:23.151,2026-07-10 14:07:23.151,False,True,4,41,Food and shelter from organisations
06a2b18e373f,v1,Woman,50.0,ok,Other,,Venezuela,5+ years,4.0,1+ year,4.0,0.0,No,Colombia,Spanish,Completed,,,,,45-54,4,,0,False,,2026-06-13 16:10:09.956,False,True,-1,-10,No conversation text
06b027632b84,v1,Woman,27.0,ok,Cúcuta,Norte de Santander,Venezuela,5+ years,4.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,0,False,,2026-07-14 21:48:15.936,False,True,-1,-10,No conversation text
0720077ff117,v1,Man,36.0,ok,Soacha,Cundinamarca,Venezuela,5+ years,4.0,Did not respond,-1.0,0.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,0,False,,2026-05-13 19:14:40.429,False,True,-1,-10,No conversation text
0728fbb71e81,v1,Woman,37.0,ok,Bogotá,Bogotá,Venezuela,5+ years,4.0,1+ year,4.0,1.0,Yes,Venezuela,Spanish,Completed,,,,,35-44,3,,1,True,2026-05-13 19:05:55.917,2026-05-13 19:05:55.917,False,False,4,41,Food and shelter from organisations
07328a0c07a6,v1,Man,46.0,ok,Other,,Cuba,5+ years,4.0,1+ year,4.0,1.0,No,Colombia,Spanish,Completed,,,,,45-54,4,,1,True,2026-06-13 15:12:44.346,2026-06-13 15:12:44.346,False,True,2,21,Regularising status abroad
075203619289,v1,Woman,38.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,2.0,Yes,Venezuela,Spanish,Completed,,,,,35-44,3,,2,True,2026-07-09 01:31:27.037,2026-07-09 01:31:27.037,False,False,4,40,Health access and registration
075f884db357,v1,Woman,28.0,ok,Bogotá,Bogotá,Venezuela,1–5 years,3.0,1+ year,4.0,8.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,7,True,2026-06-22 23:21:52.380,2026-06-22 23:21:52.380,True,True,2,20,Family nationality options
0765abd5a93d,v1,Man,14.0,unreliable_sub18,Barranquilla,Atlántico,Venezuela,5+ years,4.0,1+ year,4.0,0.0,No,Colombia,Spanish,Completed,,,,,0-17,0,,0,False,,2026-06-17 02:46:43.903,False,True,-1,-10,No conversation text
