week,cluster_id,user_id,n
2026-05-11,3,7298a75fed0e,1
2026-05-11,3,a2818f285f14,1
2026-05-11,3,b214fc588e5a,4
2026-05-11,3,b6447f6aca25,1
2026-05-11,3,c24b23e10ab0,3
2026-05-11,3,e9c7c306fde3,1
2026-05-11,4,01e874a94ef6,4
2026-05-11,4,0728fbb71e81,1
2026-05-11,4,0a5b92f117c1,4
2026-05-11,4,0d79522d75ab,8
2026-05-11,4,1b5222e497bf,14
2026-05-11,4,1de87f03b7cb,6
2026-05-11,4,221fa9dcfc72,4
2026-05-11,4,29d93a2f169e,2
2026-05-11,4,2bda216ee06e,4
2026-05-11,4,42070e3f07d1,2
2026-05-11,4,512018e4b670,3
2026-05-11,4,533f8aeb1f13,3
2026-05-11,4,5969c82a3eb7,3
2026-05-11,4,5f7ccd4c3ba5,2
2026-05-11,4,67bc1b1311b4,7
2026-05-11,4,6881c4372f8a,3
2026-05-11,4,69fe1235d290,4
2026-05-11,4,6c99e1a0bd00,8
2026-05-11,4,7ca5b1d9e37f,4
2026-05-11,4,7eb0525767e1,5
2026-05-11,4,898bdb72ffa7,6
2026-05-11,4,924d9c35fc08,9
2026-05-11,4,9293ff00b6ee,2
2026-05-11,4,93ec90685c9f,12
2026-05-11,4,ad2009457cac,10
2026-05-11,4,b0e5890f08d5,2
2026-05-11,4,b2b053c989b4,6
2026-05-11,4,bebf0fad32f7,6
2026-05-11,4,c102a05bc7bd,3
2026-05-11,4,de1ded63645a,2
2026-05-11,4,de4012f900cf,2
2026-05-11,4,f6195c2e45a8,6
2026-05-11,4,f8df33a0bed7,1
2026-05-11,4,f9cf071cedbb,5
2026-05-11,5,157aec2253fd,2
2026-05-11,5,2ad1d2577df4,1
2026-05-11,5,b094ff31751a,4
2026-05-11,5,ca554e8748d9,1
2026-05-11,5,ff48f45207bd,3
2026-05-18,0,f5863c04b88e,2
2026-05-18,1,bef69be61162,3
2026-05-18,1,e1ada0b3526e,5
2026-05-18,2,6c3f6488d293,5
2026-05-18,2,71937764deb6,1
2026-05-18,2,80448aa9421f,5
2026-05-18,2,f5a245a65843,2
2026-05-18,3,2c894b94435f,3
2026-05-18,3,459d7e890352,6
2026-05-18,3,5eb579d50f61,1
2026-05-18,4,0b98d3009cee,7
2026-05-18,4,2b4cbbc49e4e,2
2026-05-18,4,4e549487225a,17
2026-05-18,4,533f8aeb1f13,4
2026-05-18,4,5fe4874309e2,5
2026-05-18,4,75c9dbc84410,6
2026-05-18,4,a59fcec78cc4,2
2026-05-18,4,b7d2163f0f3d,12
2026-05-18,4,dd16a0f184e1,19
2026-05-18,4,e908b895cfdc,3
2026-05-18,4,ecbabc3cee0c,1
2026-05-18,4,f21321abd593,4
2026-05-18,5,10403265a7b9,1
2026-05-18,5,a5c1cc164391,1
2026-05-18,5,fe9ae764a26c,1
2026-05-25,0,049ef16eb70d,2
2026-05-25,0,40ac2feac7f3,4
2026-05-25,0,5e8b19f7609f,3
2026-05-25,0,809306d0866c,1
2026-05-25,0,ad94b6ca4670,2
2026-05-25,0,c9ea75e2113a,2
2026-05-25,0,ef060dfe6b88,1
2026-05-25,0,f64d330feb5a,4
2026-05-25,1,006dab9688be,2
2026-05-25,1,0bd2b552813a,4
2026-05-25,1,0d3864ce7985,5
2026-05-25,1,0d4c00f44bf5,2
2026-05-25,1,1869a21f0508,4
2026-05-25,1,19d8b6f6f965,2
2026-05-25,1,1cb79f121916,2
2026-05-25,1,2b53dd383709,1
2026-05-25,1,3ef43e2b6b24,3
2026-05-25,1,40796bc37a12,1
2026-05-25,1,453801c9089a,11
2026-05-25,1,4d24b1824f22,2
2026-05-25,1,5a525086d92f,1
2026-05-25,1,626dfbcaff20,7
2026-05-25,1,7941b981e189,1
2026-05-25,1,9a9909a709cd,3
2026-05-25,1,a14634aae815,1
2026-05-25,1,b3c0e6b6e9a1,2
2026-05-25,1,cd29ce6cd432,2
2026-05-25,1,cf7ef4f07578,2
2026-05-25,1,d70599256661,15
2026-05-25,1,e3ae191d4fd0,3
2026-05-25,1,ea19a9b97add,7
2026-05-25,1,ec5575cda85d,2
2026-05-25,1,ef9f4e4bdb30,5
2026-05-25,1,f03a13d8517f,2
2026-05-25,1,f9e1e99d614e,1
2026-05-25,2,00e5e5188fa3,6
2026-05-25,2,0337f971aa05,4
2026-05-25,2,0cd045787ad8,2
2026-05-25,2,0f4d0aadbeb7,2
2026-05-25,2,13c78ef9081e,3
2026-05-25,2,24210d0ef3a3,4
2026-05-25,2,25d1576e420f,2
2026-05-25,2,2757dc3ce28d,5
2026-05-25,2,2dc38572ac12,2
2026-05-25,2,326a35419541,6
2026-05-25,2,37f1ae5951bc,7
2026-05-25,2,3b7c53152a59,3
2026-05-25,2,40d6861d8bae,3
2026-05-25,2,4973666d1861,1
2026-05-25,2,605cd2a13361,1
2026-05-25,2,63ba58c33223,6
2026-05-25,2,6cbe5937faf9,9
2026-05-25,2,7217147bd0ff,1
2026-05-25,2,7809d4fe159d,2
2026-05-25,2,7cbabccbbd74,1
2026-05-25,2,91aba0850082,3
2026-05-25,2,92d7b0a9f8fc,5
2026-05-25,2,9d5222baadcf,4
2026-05-25,2,9d7b24a63bc5,5
2026-05-25,2,a6a51804742e,10
2026-05-25,2,adc62f73647f,1
2026-05-25,2,b1c6ff87f7cd,2
2026-05-25,2,b5f02b72f3e0,6
2026-05-25,2,b6aec3dd7f39,3
2026-05-25,2,b810be78aa76,6
2026-05-25,2,b94a953eb128,2
2026-05-25,2,bb33b846c2c5,2
2026-05-25,2,bb994c5bd396,11
2026-05-25,2,bd3834c92d2b,4
2026-05-25,2,c336a1971655,7
2026-05-25,2,c6eedaa8be95,4
2026-05-25,2,cc43888d2b0f,10
2026-05-25,2,cc831ab48d9d,11
2026-05-25,2,cfe952f9994f,4
2026-05-25,2,d160747fc117,8
2026-05-25,2,d78b203a7cef,4
2026-05-25,2,de6086eb2be3,3
2026-05-25,2,def53b6a796b,2
2026-05-25,2,e2c9eb5825cb,5
2026-05-25,2,eb396272d9a4,2
2026-05-25,2,ebd77a80a358,1
2026-05-25,2,f9a08781f2e1,2
2026-05-25,2,fcf527dbf6de,3
2026-05-25,2,fe3fb489daaa,2
2026-05-25,3,04561f6119e9,2
2026-05-25,3,194c0b66d618,1
2026-05-25,3,1ad08d444027,1
2026-05-25,3,2920d7482649,4
2026-05-25,3,2ba620c8e1c2,1
2026-05-25,3,51e28189c9d0,2
2026-05-25,3,555b65ff0b32,1
2026-05-25,3,58aa5ef80922,2
2026-05-25,3,5f11954d95d6,2
2026-05-25,3,70f88c68bbf5,3
2026-05-25,3,866fdeb1a0de,1
2026-05-25,3,a426c732d67b,2
2026-05-25,3,aae2ac12b8a1,1
2026-05-25,3,b8f4fe31551a,2
2026-05-25,3,bdc0d2b7501c,4
2026-05-25,3,bf11ef5edebb,8
2026-05-25,3,c32ff785b9e9,1
2026-05-25,3,d345c9071887,3
2026-05-25,3,d40c929ddf9e,4
2026-05-25,3,d6f1371a11b5,3
2026-05-25,3,dc32814ac7fb,1
2026-05-25,3,df07b2341410,4
2026-05-25,3,e86a9cdef117,2
2026-05-25,3,f17def181492,5
2026-05-25,4,0a9de4272ae0,12
2026-05-25,4,0eceb4e2c434,4
2026-05-25,4,185a9a73040a,2
2026-05-25,4,1b62f7b2e3ab,3
2026-05-25,4,1d9d9f68d199,2
2026-05-25,4,3e95e47dd7ec,5
