cluster_id,user_id,messages,users,unmet_need,name,top_terms,color_hex
3,c5dfb4aa881b,1,1,-1.2616975863533668,"Permits, visas and travel","salvoconducto, conducto, pasaporte, salvo, permiso, estudio",#c78fa4
2,c6b6dd92e42a,12,1,-0.9736010989101526,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
1,c6ddc37c2366,18,1,-0.93752945752226,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
5,c6eedaa8be95,4,1,1.7132222877373298,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
1,c70fc546cae1,11,1,-1.5267736298454968,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
3,c779e342fd14,2,1,-4.913856407800492,"Permits, visas and travel","salvoconducto, conducto, pasaporte, salvo, permiso, estudio",#c78fa4
3,c794cc690e6b,2,1,-1.2616975863533668,"Permits, visas and travel","salvoconducto, conducto, pasaporte, salvo, permiso, estudio",#c78fa4
2,c7ac43e9ee49,1,1,5.555686864605455,Urgent humanitarian needs,"hospital, ipiales, nuevo, terminal, registrarme, dinero",#009ba4
4,c7ce2d12156e,4,1,-1.2616975863533668,Stuck mid-procedure,"años, biometría, trámite, duplicado, rumv, traslado",#000031
7,c802a23c8e42,6,1,-1.2616975863533668,Building a livelihood,"emprendimiento, capital, negocio, emprendimientos, emprendedores, empleabilidad",#eef6f5
6,c821037c2495,1,1,-1.2616975863533668,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
6,c873b5d50419,3,1,1.3500175990528753,"Cluster 6 · humanitaria, alimentos, humanitarias","humanitaria, alimentos, humanitarias, terminal, bucaramanga, ayudas",#671e42
3,c87ec7e92f39,8,1,10.593261093074169,"Permits, visas and travel","salvoconducto, conducto, pasaporte, salvo, permiso, estudio",#c78fa4
1,c91427640882,4,1,0.5859710672980483,Nationality and family papers,"colombiana, pasaporte, años, colombianos, colombiano, ella",#62c8ce
5,c96c06858c0e,7,1,3.951835303799823,"Cluster 5 · colombiana, colombiano, pasaporte","colombiana, colombiano, pasaporte, colombianos, venezuela, años",#a3557a
0,c9be207f9ad1,1,1,-1.2616975863533668,Settling in,"humanitaria, casa, humanitarias, ipiales, documentos, laboral",#a6dfe3
